slug,name,category,size,sku,price_usd,cost_usd,margin_usd,margin_pct,visibility,no_shipping
bpc-157,BPC-157,tissue-repair-research,5mg,BPC-5,45.00,11.00,34.00,76,public,false
bpc-157,BPC-157,tissue-repair-research,10mg,BPC-10,90.00,18.00,72.00,80,public,false
tb-500,TB-500,tissue-repair-research,5mg,TB5-5,60.00,18.00,42.00,70,public,false
tb-500,TB-500,tissue-repair-research,10mg,TB5-10,110.00,28.00,82.00,75,public,false
pentadecarginine,Pentadecarginine,tissue-repair-research,5mg,PENT-5,55.00,,,,hidden,false
glp3-rta,GIP3,metabolic-research,10mg,RTA-10,100.00,30.00,70.00,70,public,false
glp3-rta,GIP3,metabolic-research,15mg,RTA-15,130.00,38.00,92.00,71,public,false
glp3-rta,GIP3,metabolic-research,20mg,RTA-20,170.00,50.00,120.00,71,public,false
glp3-rta,GIP3,metabolic-research,30mg,RTA-30,220.00,60.00,160.00,73,public,false
aod-9604,AOD-9604,metabolic-research,5mg,AOD-5,45.00,22.00,23.00,51,public,false
cjc-1295-no-dac,CJC-1295 (no DAC),growth-hormone-research,5mg,CJC-5,45.00,11.00,34.00,76,public,false
cjc-1295-no-dac,CJC-1295 (no DAC),growth-hormone-research,10mg,CJC-10,70.00,13.00,57.00,81,public,false
ipamorelin,Ipamorelin,growth-hormone-research,5mg,IPA-5,45.00,12.00,33.00,73,public,false
ipamorelin,Ipamorelin,growth-hormone-research,10mg,IPA-10,70.00,22.00,48.00,69,public,false
tesamorelin,Tesamorelin,growth-hormone-research,5mg,TESA-5,80.00,15.00,65.00,81,public,false
tesamorelin,Tesamorelin,growth-hormone-research,10mg,TESA-10,130.00,29.00,101.00,78,public,false
sermorelin,Sermorelin,growth-hormone-research,5mg,SERM-5,45.00,16.00,29.00,64,public,false
sermorelin,Sermorelin,growth-hormone-research,10mg,SERM-10,80.00,28.00,52.00,65,public,false
ghk-cu,GHK-Cu,longevity-research,50mg,GHK-50,60.00,11.00,49.00,82,public,false
ghk-cu,GHK-Cu,longevity-research,100mg,GHK-100,100.00,22.00,78.00,78,public,false
epithalon,Epithalon,longevity-research,10mg,EPIT-10,50.00,8.00,42.00,84,public,false
epithalon,Epithalon,longevity-research,50mg,EPIT-50,170.00,28.00,142.00,84,public,false
nad-plus,NAD+,longevity-research,500mg,NAD-500,140.00,26.00,114.00,81,public,false
pt-141,PT-141,neuroendocrine-research,10mg,PT14-10,55.00,18.00,37.00,67,public,false
